Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,fill_ratio_1,distance_from_71_0_0,fill_per_m_1_71_0_0,fill_ratio_2,distance_from_136_0_0,fill_per_m_2_136_0_0,fill_ratio_3,distance_from_176_0_0,fill_per_m_3_176_0_0,fill_ratio_4,distance_from_196_0_0,fill_per_m_4_196_0_0
1,76.695929,30.704942,0.46077876803272577,16767.0,0.0027481288723845993,0.5018921592176502,2094.8,0.02395895356204173,0.507077889315575,2959.1,0.017136220111370854,0.5373142929843358,3499.0,0.015356224435105337,0.5741689349483011,1667.2,0.03443911557991249
1,76.705889,30.715948,0.618254771530296,15033.6,0.004112486507092752,0.6486137216963401,2764.3,0.023463941022911407,0.6548875361273658,1946.5,0.033644363530817664,0.681364160192091,3574.4,0.019062336621309618,0.7090416074519053,2262.0,0.031345782822807484
1,76.710537,30.716773,0.7994103989090426,14749.5,0.0054199152439678815,0.8017139061955415,3080.9,0.02602206842791202,0.8048101950524578,2698.8,0.029821038796963753,0.8141768779250779,4191.5,0.01942447519802166,0.8262863543294778,2879.1,0.02869946699765475
1,76.698487,30.722642,0.8062012797930613,17440.6,0.004622554727435188,0.8194087153315156,3689.3,0.022210411604681526,0.8194087153315156,2871.5,0.028535912078409043,0.8351865625751521,4468.7,0.01868969862768036,0.8478923904953212,3188.7,0.026590535029802777
1,76.700787,30.725808,0.9495206236576421,17711.8,0.00536094933127995,0.9509776126897339,4451.6,0.021362602495501253,0.952414692846932,3687.0,0.025831697663328778,0.9544026489117102,4940.3,0.019318718476847768,0.95834389357011,3627.9,0.02641594017393285
1,76.708931,30.698582,0.5321134852653157,14022.3,0.003794766088768003,0.5702263379493199,1763.2,0.03234042297806941,0.5702263379493199,2570.3,0.02218520553823755,0.5749742243655479,4183.1,0.013745170432587026,0.5754681272643211,2885.8,0.019941372488194643
1,76.702839,30.705454,0.37728416310462265,15772.1,0.00239209847201465,0.4110804736989003,1099.9,0.03737434982261117,0.4217945765421122,1906.9,0.02211938625738697,0.43840289082240874,3519.7,0.0124556891445978,0.0,2222.4,0.0
1,76.699339,30.676933,0.980032575285477,15111.9,0.0064851711253083805,0.9810798894537924,5476.9,0.017913050986028457,0.9821967340105172,4982.8,0.019711743076393135,0.9828809609631403,5136.3,0.019135972606022626,0.9845384150719105,5200.8,0.018930518671587265
1,76.707991,30.713578,0.2768776481472037,15232.4,0.0018176889272025665,0.3399428773614786,2435.4,0.013958400154450136,0.3491411742889495,2145.3,0.016274701640281053,0.4136522590978643,3773.2,0.01096290308220779,0.4540788818063439,2460.8,0.018452490320478864
1,76.725084,30.684377,0.9865152487929797,11885.2,0.008300367253331704,0.9868996925349957,4355.1,0.022660781440954184,0.9880206812178867,5162.2,0.019139527356899902,0.9880206812178867,6775.0,0.014583331088086888,0.9888419417300534,5477.7,0.018052137607573498
1,76.715344,30.712724,0.5868411180208791,13904.2,0.004220603256720122,0.5895884703689834,2993.5,0.01969562286183342,0.5930978390634317,3086.0,0.01921898376744756,0.6019786369239419,4713.9,0.012770288655337237,0.6019786369239419,3401.5,0.017697446330264353
1,76.696883,30.70069,0.0366832028905979,16160.7,0.0002269901853917089,0.05505247132237946,1488.5,0.0036985200754033904,0.1424030613563842,2352.8,0.0060524932572417625,0.19665652124344446,2576.7,0.007632107782956669,0.21128684523676974,1216.3,0.01737127725370137
1,76.70499,30.708699,0.17701048427674682,14880.6,0.001189538622614322,0.24308448136258892,1610.3,0.015095602146344714,0.2910334308931101,1795.5,0.01620904655489335,0.35786996204277327,3423.4,0.010453641468796323,0.35786996204277327,2111.0,0.016952627287672824
1,76.664354,30.708365,0.4926180939928696,20383.8,0.002416713733420018,0.5292638824698516,5711.7,0.009266310948926791,0.5516732942778385,5215.2,0.010578180976335299,0.5886459443503378,3460.9,0.01700846439799872,0.6144057712536697,3645.0,0.01685612541162331
1,76.688734,30.687228,0.5034172708548569,16762.4,0.0030032529402404,0.5034172708548569,2771.6,0.018163417190606757,0.5162997905126083,4611.0,0.01119713273720686,0.5269500566034812,3100.2,0.01699729232318822,0.5284887073402054,3164.6,0.01670001603173246
1,76.703663,30.693716,0.4845229851910213,14997.3,0.0032307347668648445,0.5017865998396415,2292.7,0.02188627381862614,0.5350714965883874,3099.7,0.017262041377823254,0.5350714965883874,3784.9,0.014137004850547896,0.5380567530903866,3415.2,0.015754765550784335
