id,Ward,x,y,fill_ratio_0,fill_ratio_00,distance_from_0_0_0,fill_per_m_0_0_0_0,fill_ratio_1,fill_ratio_11,distance_from_74_0_0,fill_per_m_1_74_0_0,fill_ratio_2,fill_ratio_22,distance_from_149_0_0,fill_per_m_2_149_0_0,fill_ratio_3,fill_ratio_33,distance_from_156_0_0,fill_per_m_3_156_0_0
81,0,76.771895,30.70311,0.6075448519014384,0.6075448519014384,0.6911546201734095,87.9028851386404,0.618723563741976,0.618723563741976,0.337508698677801,183.3207754839628,0.618723563741976,0.618723563741976,0.06348624198311047,974.5789708368277,0.0,0.6428140277971066,0.12924824615847583,0.0
203,0,76.769154,30.698312,0.28093450968738076,0.28093450968738076,0.5040780997719593,55.73233786876938,0.28093450968738076,0.28093450968738076,0.19109642625297535,147.01191183736574,0.307941383686691,0.307941383686691,0.05134244386370824,599.7793648158644,0.0,0.328233287781643,0.09422075003745194,0.0
230,0,76.767338,30.709891,0.8154614284548342,0.8154614284548342,0.7488116061323181,108.90074643297379,0.831543237701949,0.831543237701949,0.3618685049902253,229.7915475469219,0.843284939201833,0.843284939201833,0.21356106595328736,394.86829466672845,0.0,0.8538243162750333,0.3315876118942278,0.0
90,0,76.80172,30.703948,0.8083973481164611,0.8083973481164611,0.34862034476672354,231.8847308401905,0.8088843853257344,0.8088843853257344,0.2790198270282991,289.9021169716712,0.8267757648351329,0.8267757648351329,0.3626424270949775,227.98649663201073,0.0,0.8404878322773276,0.34466866701967014,0.0
43,0,76.786779,30.705302,0.43194501864211576,0.43194501864211576,0.4186600414758844,103.17321355040198,0.43819657303571263,0.43819657303571263,0.28560868940311684,153.42550464815466,0.4829044779199386,0.4829044779199386,0.2470895016734082,195.43706820786747,0.5057358224321324,0.5057358224321324,0.21056197770157895,240.1838299357596
123,0,76.798588,30.701914,0.662522284353982,0.662522284353982,0.36708039920968644,180.48424426375624,0.676371793494602,0.676371793494602,0.26317442626272863,257.005136517093,0.6962751620710531,0.6962751620710531,0.34141547190840466,203.93778822590988,0.6980233645767977,0.6980233645767977,0.3228431024874614,216.21132965165566
269,0,76.788779,30.711419,0.7296061783380641,0.7296061783380641,0.5706042707860064,127.8655305774408,0.735792739373716,0.735792739373716,0.29315084052703316,250.99458628564437,0.735792739373716,0.735792739373716,0.34070876874148115,215.95943717316294,0.7382024708376054,0.7382024708376054,0.43306451612903224,170.4601608638046
250,0,76.808706,30.702568,0.8631034258755935,0.8631034258755935,0.40247475408515654,214.44908459847795,0.8674068515620801,0.8674068515620801,0.42780624830099784,202.75693845214388,0.8721734579196601,0.8721734579196601,0.5134057569747189,169.879952858146,0.881907585000646,0.881907585000646,0.5518258610795083,159.81628394062867
26,0,76.801829,30.716223,0.8324426408004217,0.8324426408004217,0.7981855617037704,104.29186905154332,0.8473981236721019,0.8473981236721019,0.48607643803886247,174.3343345526144,0.8473981236721019,0.8473981236721019,0.6044138463518208,140.20163978487736,0.8486395213283959,0.8486395213283959,0.5808132801441256,146.1122791678955
290,0,76.793766,30.712887,0.5612771975694962,0.5612771975694962,0.5957418783154316,94.21482994558139,0.5772304573897495,0.5772304573897495,0.30324148914514254,190.35339096144122,0.611447781940565,0.611447781940565,0.4050604112033145,150.95224441315676,0.6153769259509266,0.6153769259509266,0.4507430158901222,136.52500521515287
239,0,76.775578,30.718136,0.7712703466859457,0.7712703466859457,0.7405391895115938,104.14983536450245,0.7897388973621979,0.7897388973621979,0.46303722975199096,170.55624183506643,0.7897388973621979,0.7897388973621979,0.454868724508924,173.61908058523906,0.7922003613578565,0.7922003613578565,0.6029811067813362,131.38062742737614
190,0,76.790682,30.718419,0.8287375091519293,0.8287375091519293,0.7998076306508496,103.61710458770415,0.8287375091519293,0.8287375091519293,0.48654055787111256,170.3326671836198,0.8373266021348318,0.8373266021348318,0.4793074703430587,174.6950869627642,0.8373266021348318,0.8373266021348318,0.644527092016672,129.91332909139723
87,0,76.800424,30.724398,0.9488855372533332,0.9488855372533332,1.0,94.88855372533332,0.9515373076441754,0.9515373076441754,0.658988105210253,144.39369999562942,0.9537937209955989,0.9537937209955989,0.6499692857541743,146.7444296062221,0.9570326385217661,0.9570326385217661,0.7503350644999162,127.54736967538761
152,0,76.803858,30.724407,0.9218742350231168,0.9218742350231168,0.9664167510976022,95.39096191949318,0.9218742350231168,0.9218742350231168,0.6364471462343803,144.84694298301156,0.9263920928617434,0.9263920928617434,0.6388112124282337,145.01813287533952,0.9324416327542321,0.9324416327542321,0.7510030395136779,124.15950185208933
129,0,76.790718,30.708712,0.31171107608941095,0.31171107608941095,0.5105915113208171,61.04901260169115,0.3273005294275393,0.3273005294275393,0.24068201155839417,135.98877926451507,0.3293522796261719,0.3293522796261719,0.34434290639468706,95.64659922126206,0.38911658939901655,0.38911658939901655,0.324077041227886,120.06916254379024
137,0,76.769145,30.746104,0.9695846277645586,0.9695846277645586,1.0,96.95846277645586,0.9702601769377451,0.9702601769377451,0.7559620745121939,128.34773193666274,0.9725501241405681,0.9725501241405681,0.7519457293862585,129.33780805356363,0.9725501241405681,0.9725501241405681,0.8284561049445005,117.39307832196138
220,0,76.801226,30.728631,0.9868869366005173,0.9868869366005173,0.8373997456329327,117.85135375872338,0.9868869366005173,0.9868869366005173,0.6986658706880889,141.2530621581058,0.9872626799610899,0.9872626799610899,0.7074389389259481,139.55447256832898,0.9885193943685323,0.9885193943685323,0.8585277857087238,115.1412232456168
132,0,76.805002,30.713908,0.5467102793432796,0.5467102793432796,0.681907299416851,80.17369513580684,0.5532782149527619,0.5532782149527619,0.3749120249346471,147.57547855372383,0.5532782149527619,0.5532782149527619,0.5377035994369596,102.89650572027243,0.5822798534559963,0.5822798534559963,0.5146541323144983,113.14003267347184
119,0,76.794488,30.691011,0.2587799816000169,0.2587799816000169,0.2393984095494854,108.09594854326933,0.2587799816000169,0.2587799816000169,0.2784136188683724,92.9480327333995,0.2998698137002775,0.2998698137002775,0.333969174423928,89.78966822837187,0.3407794225067089,0.3407794225067089,0.3184207402885871,107.02174179918617
268,0,76.801279,30.691834,0.32518332202674705,0.32518332202674705,0.15152485256950293,214.60725188799555,0.3273042158943997,0.3273042158943997,0.27647009267059813,118.38684348558749,0.33078082348894405,0.33078082348894405,0.3481044650379107,95.02343598290818,0.3972319318052867,0.3972319318052867,0.38025273799494524,104.4652390670142
103,0,76.779344,30.723923,0.6842330265121569,0.6842330265121569,0.9272729752212632,73.78981646142412,0.7042378024503165,0.7042378024503165,0.5941578365994354,118.52705780687934,0.7226605480464161,0.7226605480464161,0.5734566133453342,126.0183475486805,0.7226605480464161,0.7226605480464161,0.6938864569270002,104.14680108426487
23,0,76.806562,30.739112,0.9699098521619943,0.9699098521619943,0.951190204395525,101.96802360663139,0.9699098521619943,0.9699098521619943,0.8755722714218767,110.7743910833219,0.9720946717195553,0.9720946717195553,0.8797539082683457,110.49620383420265,0.973278477162738,0.973278477162738,0.9640355198807993,100.95877766859478
