Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,fill_ratio_1,distance_from_100_0_0,fill_per_m_1_100_0_0,fill_ratio_2,distance_from_125_0_0,fill_per_m_2_125_0_0
1,76.739442,30.680772,1.0,0.8345760536382291,119.8213147430514,1.0,0.1533908109066651,651.9295348197082,0.0,0.04869831029445294,0.0
1,76.737485,30.676334,1.0,0.9127826143754258,109.55511030238596,1.0,0.1753585458481464,570.2602032671739,0.0,0.08664819117468671,0.0
1,76.736689,30.682809,1.0,0.936280631643216,106.80558437324007,1.0,0.20812403444990243,480.4827095741843,0.0,0.1185117346136412,0.0
1,76.733171,30.68394,1.0,1.0,100.0,1.0,0.2032906391148292,491.90656508052376,0.0,0.17670954637779282,0.0
1,76.738465,30.69128,1.0,0.9853677212116684,101.48495617152335,1.0,0.27420348858925037,364.6926613315171,1.0,0.18503716430732453,540.4319741622932
1,76.732203,30.688969,1.0,1.0,100.0,1.0,0.23128339856665414,432.36998686345726,1.0,0.19254552928350577,519.3576832041584
1,76.738767,30.665791,1.0,0.8461958485566307,118.1759520217117,1.0,0.15306540330027704,653.315496799916,1.0,0.19822539848235435,504.4762213400308
1,76.734448,30.696438,1.0,1.0,100.0,1.0,0.3397358943577431,294.3462897526502,1.0,0.21329156662665066,468.8417905197432
1,76.728938,30.692466,1.0,1.0,100.0,1.0,0.3493258129902177,286.2657046268732,1.0,0.2270467965100908,440.43783720839957
1,76.724151,30.674408,1.0,1.0,100.0,1.0,0.27813418530351436,359.53868774122407,1.0,0.23119914802981895,432.5275454176954
1,76.726352,30.694305,1.0,1.0,100.0,1.0,0.27093671663170815,369.08987915407863,1.0,0.23397452294469737,427.39696075215926
1,76.725084,30.684377,1.0,1.0,100.0,1.0,0.2762090667384646,362.04459607652007,1.0,0.23972671894456968,417.1416537975573
1,76.720965,30.675272,1.0,1.0,100.0,1.0,0.29366012254595475,340.5297223641628,1.0,0.24774290358884582,403.64425600646075
1,76.733428,30.670581,1.0,0.960961072479645,104.06248792363876,1.0,0.15959076434599354,626.6026759744036,1.0,0.25575371589316054,391.0011616088282
1,76.726498,30.678517,1.0,1.0,100.0,1.0,0.35319176825271986,283.1323065503804,1.0,0.26342738235679647,379.6112579692116
1,76.719086,30.677919,1.0,1.0,100.0,1.0,0.3316369347797633,301.5345684171426,1.0,0.2701046326309063,370.2268969842084
1,76.728325,30.672599,1.0,1.0,100.0,1.0,0.21552429249141175,463.98481973434536,1.0,0.2725793845538652,366.86560197379384
1,76.720789,30.68214,1.0,1.0,100.0,1.0,0.3077653496419087,324.9228677508759,1.0,0.27287358171722864,366.4700678265998
