Ward,x,y,fill_ratio_0,fill_ratio_0_0,distance_from_0,fill_p_m_0,fill_ratio_1,fill_ratio_1_1,fill_p_m_1,fill_ratio_2,fill_ratio_2_2,fill_p_m_2,fill_ratio_3,fill_ratio_3_3,fill_p_m_3,fill_ratio_4,fill_ratio_4_4,fill_p_m_4
1,76.696593,30.678177,0.907566473926093,0.907566473926093,1.0,0.907566473926093,0.0,0.907566473926093,0.0,0.907566473926093,0.907566473926093,0.907566473926093,0.907566473926093,0.907566473926093,0.907566473926093,0.907566473926093,0.907566473926093,0.907566473926093
1,76.688734,30.687228,0.8948273504276488,0.8948273504276488,1.0,0.8948273504276488,0.0,0.8948273504276488,0.0,0.8948273504276488,0.8948273504276488,0.8948273504276488,0.8948273504276488,0.8948273504276488,0.8948273504276488,0.8948273504276488,0.8948273504276488,0.8948273504276488
1,76.708514,30.719551,0.8872127425763265,0.8872127425763265,1.0,0.8872127425763265,0.0,0.8872127425763265,0.0,0.8872127425763265,0.8872127425763265,0.8872127425763265,0.8872127425763265,0.8872127425763265,0.8872127425763265,0.8872127425763265,0.8872127425763265,0.8872127425763265
1,76.680322,30.696429,0.8661761457749352,0.8661761457749352,1.0,0.8661761457749352,0.0,0.8661761457749352,0.0,0.8661761457749352,0.8661761457749352,0.8661761457749352,0.8661761457749352,0.8661761457749352,0.8661761457749352,0.8661761457749352,0.8661761457749352,0.8661761457749352
1,76.717915,30.684941,0.8631034258755935,0.8631034258755935,1.0,0.8631034258755935,0.0,0.8631034258755935,0.0,0.8631034258755935,0.8631034258755935,0.8631034258755935,0.8631034258755935,0.8631034258755935,0.8631034258755935,0.8631034258755935,0.8631034258755935,0.8631034258755935
1,76.738767,30.665791,0.713244787222995,0.713244787222995,0.8461958485566307,0.8428838175460063,0.0,0.713244787222995,0.0,0.713244787222995,0.713244787222995,0.8428838175460063,0.713244787222995,0.713244787222995,0.8428838175460063,0.713244787222995,0.713244787222995,0.8428838175460063
1,76.718126,30.698031,0.8324426408004217,0.8324426408004217,1.0,0.8324426408004217,0.0,0.8324426408004217,0.0,0.8324426408004217,0.8324426408004217,0.8324426408004217,0.8324426408004217,0.8324426408004217,0.8324426408004217,0.8324426408004217,0.8324426408004217,0.8324426408004217
1,76.707991,30.713578,0.8287375091519293,0.8287375091519293,1.0,0.8287375091519293,0.0,0.8287375091519293,0.0,0.8287375091519293,0.8287375091519293,0.8287375091519293,0.8287375091519293,0.8287375091519293,0.8287375091519293,0.8287375091519293,0.8287375091519293,0.8287375091519293
1,76.696883,30.70069,0.8154614284548342,0.8154614284548342,1.0,0.8154614284548342,0.0,0.8154614284548342,0.0,0.8154614284548342,0.8154614284548342,0.8154614284548342,0.8154614284548342,0.8154614284548342,0.8154614284548342,0.8154614284548342,0.8154614284548342,0.8154614284548342
1,76.716695,30.700924,0.8083973481164611,0.8083973481164611,1.0,0.8083973481164611,0.0,0.8083973481164611,0.0,0.8083973481164611,0.8083973481164611,0.8083973481164611,0.8083973481164611,0.8083973481164611,0.8083973481164611,0.8083973481164611,0.8083973481164611,0.8083973481164611
