Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,fill_ratio_1,distance_from_220_0_0,fill_per_m_1_220_0_0,fill_ratio_2,distance_from_285_0_0,fill_per_m_2_285_0_0,fill_ratio_3,distance_from_16_0_0,fill_per_m_3_16_0_0
0,76.80233,30.744275,0.6232981268275579,8987.9,0.00693485827420819,0.6455571746818968,3694.7,0.017472519411099598,0.6557134237793504,2864.8,0.02288862830841072,0.0,953.3,0.0
0,76.805606,30.74516,0.9394989415641891,8484.7,0.011072859872054273,0.940842717326223,4142.9,0.022709761696546454,0.940842717326223,2528.3,0.03721246360503987,0.0,1405.0,0.0
0,76.804139,30.741704,0.7080725777960455,8683.7,0.008154042375900198,0.7188091759825281,3840.4,0.018717039266288097,0.7350698829184935,2012.6,0.036523396746422215,0.0,1248.9,0.0
0,76.801987,30.752503,0.8661761457749352,9488.0,0.009129175229499738,0.8681151847990047,5146.3,0.016868724808095228,0.8789640370916881,3531.7,0.024887845431143307,0.8789640370916881,1536.1,0.05722049587212344
0,76.806562,30.739112,0.9699098521619943,7915.9,0.012252679444687204,0.9699098521619943,3576.0,0.02712275872936226,0.971469513748839,1961.4,0.04952939297179765,0.9733882416053149,2524.5,0.03855766455160685
0,76.786322,30.7382,0.4951769101112702,9090.7,0.005447071293863731,0.4951769101112702,3943.7,0.012556150572083835,0.5229031403038927,2969.3,0.01761031691994385,0.5599805756150422,1635.4,0.03424119943836629
0,76.80957,30.744244,0.6011150117432088,8550.0,0.007030584932669109,0.6085549551262608,4107.7,0.0148149805274548,0.6369774405974108,2493.1,0.02554961456008226,0.653005993863698,2077.9,0.03142624735856865
0,76.784379,30.732329,0.5986584841970366,9012.4,0.006642608896598427,0.6141797792069208,4413.3,0.013916565363943553,0.6246290351049029,3642.9,0.01714647767176982,0.6431207511778236,2260.9,0.02844534261479162
0,76.785954,30.75735,0.9656320330745594,10747.5,0.008984713031631165,0.9690195132952513,5922.6,0.01636138711537587,0.9694131529475423,4948.1,0.0195916241172883,0.9694131529475423,3487.3,0.027798387088794833
0,76.791314,30.765309,0.8872127425763265,11497.3,0.007716705161875628,0.8882310961301116,6888.9,0.01289365640566871,0.8989905119421754,5436.1,0.016537416749915844,0.9037244290942432,3521.9,0.02566013881979168
0,76.799059,30.741536,0.06355835028602363,8884.9,0.0007153524551320065,0.15407993363094555,3591.7,0.004289888733216738,0.2220479978266876,2213.8,0.01003017426265641,0.0,928.0,0.0
0,76.769145,30.746104,0.9695846277645586,10009.1,0.009687031079363365,0.969741202302707,6328.5,0.015323397365927265,0.9698975849772559,5558.1,0.017450164354316327,0.9711745956756693,4001.3,0.024271476661976592
0,76.79506,30.736182,0.18182496720710062,8166.3,0.0022265281364522564,0.2548099891605834,2764.7,0.009216551132512874,0.2548099891605834,1790.2,0.014233604578292,0.32880473387891346,1403.9,0.02342080873843674
0,76.803858,30.724407,0.9218742350231168,7153.9,0.012886317044173345,0.9218742350231168,716.2,0.12871743019032628,0.9266790260283352,1604.5,0.05775500318032628,0.9288288759643237,4137.0,0.02245174947943736
0,76.811201,30.741305,0.4722149251619493,8281.5,0.005702045826987252,0.4722149251619493,3674.6,0.012850784443529889,0.49379885119924194,2385.9,0.02069654433124783,0.5292819891610896,2384.0,0.02220142571984436
0,76.782452,30.758257,0.8021969807540397,11100.9,0.007226413901161525,0.8021969807540397,6345.6,0.012641782979608543,0.8052913526902646,5371.2,0.014992764236860752,0.810854414074263,3840.7,0.02111215179717924
0,76.770601,30.750721,0.7751328233611146,11349.2,0.006829845481277222,0.7755058291868722,6435.1,0.012051185361328839,0.7879507545224166,5460.7,0.014429482566748158,0.8068473770096386,3831.1,0.021060462452288865
0,76.77055,30.741327,0.7851759613930136,9844.2,0.007976026100577127,0.7987857024973307,6210.5,0.012861858183678137,0.7987857024973307,5440.2,0.01468302089072701,0.7987857024973307,3836.4,0.020821230906509506
0,76.775071,30.752306,0.7068573438476171,11222.3,0.006298685152309394,0.7339640581865506,5671.1,0.01294218155536934,0.7360512799167171,5316.1,0.013845700417913828,0.7506701928647542,3704.1,0.020265926753185774
0,76.781129,30.727619,0.770967179954561,7370.2,0.010460600525827807,0.7792954912830541,3055.4,0.025505514540912943,0.7792954912830541,3883.2,0.020068384097730072,0.7810908955496834,3935.1,0.019849327731180488
0,76.779187,30.743609,0.3584657285442726,9936.3,0.0036076379391148878,0.3584657285442726,4413.3,0.008122396586324803,0.39604523962115523,4140.1,0.009566079071064834,0.445194777233616,2446.2,0.018199443104963457
