Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,fill_ratio_1,distance_from_262_0_0,fill_per_m_1_262_0_0
0,76.773296,30.7083,0.7576576166029725,5708.1,0.01327337672085234,0.0,802.5,0.0
0,76.769624,30.713988,0.7563317864801591,6382.8,0.01184952977502286,0.0,1399.6,0.0
0,76.771895,30.70311,0.9106125073726052,7349.6,0.012389960098136024,0.0,1884.3,0.0
0,76.779421,30.710251,0.2958133627513597,5280.8,0.005601677070734732,0.0,741.5,0.0
0,76.775578,30.718136,0.7799622023887793,6518.3,0.01196573036510715,0.0,2276.2,0.0
0,76.790718,30.708712,0.8031241661790386,4620.7,0.017381006474755743,0.0,2378.1,0.0
0,76.793766,30.712887,0.9794205136775996,4975.1,0.019686448788518815,0.0,2972.9,0.0
0,76.788779,30.711419,0.8740565631389788,5023.6,0.017399007945277864,0.0,2746.1,0.0
0,76.781181,30.69936,0.6244249271843925,4825.8,0.012939303891259324,0.6262762117966517,1989.9,0.03147274796706627
0,76.774077,30.720803,0.8012099002436289,7289.7,0.010990985914970835,0.806333517493562,2628.7,0.030674231273768858
0,76.773727,30.699978,0.7182379949812843,5517.7,0.013016981622438412,0.7182379949812843,2374.4,0.030249241702378884
0,76.798588,30.701914,0.9367739495230019,3622.9,0.025857019225565207,0.9369068810752554,3117.0,0.030057968594008836
0,76.786832,30.700819,0.7922170331553517,4598.1,0.017229225835787645,0.8022808536757767,2822.4,0.028425483761188235
0,76.800424,30.724398,0.9384620531246688,7162.8,0.013101888271690803,0.9429041892691364,3737.0,0.025231581195320752
0,76.786779,30.705302,0.31424152049950493,4078.0,0.007705775392337051,0.3741540893881748,1507.9,0.02481292455654717
0,76.767338,30.709891,0.4174560710937415,7277.7,0.005736098919902463,0.4215813385307002,1785.0,0.023618002158582643
0,76.772117,30.729533,0.974872533431243,7716.3,0.012633937682972968,0.9769637059865082,4156.9,0.0235022181430034
0,76.801829,30.716223,0.8867343919459044,6202.7,0.014295941959886895,0.8867343919459044,3827.2,0.023169272364807286
0,76.804076,30.697282,0.8091032168230461,2947.4,0.02745142216268732,0.8091032168230461,3798.8,0.021298915889834846
0,76.814484,30.719424,0.9869137142182123,5238.0,0.01884142257003078,0.9871265342543916,4712.2,0.02094831573902618
0,76.788734,30.715511,0.39795727729576924,5915.6,0.006727251289738475,0.39795727729576924,1975.6,0.020143615979741306
0,76.784379,30.732329,0.9195306289128325,9012.4,0.010202949590706499,0.9226460440200854,4700.6,0.019628261158577315
0,76.808706,30.702568,0.926557115141838,3997.5,0.023178414387538163,0.9283103046464576,4848.9,0.019144760763192843
0,76.779344,30.723923,0.628745225828071,6799.6,0.009246797250251059,0.628745225828071,3286.6,0.019130567328791794
0,76.798519,30.718065,0.4992115035332667,6854.6,0.00728286849025861,0.4992115035332667,2680.8,0.018621736180739583
0,76.801385,30.731702,0.9735265518372518,7222.1,0.013479826530195535,0.9735265518372518,5232.0,0.018607158865390896
0,76.811415,30.726194,0.9977843878200647,6163.6,0.016188337786684156,0.9978129553264984,5389.3,0.01851470423480783
0,76.788215,30.721767,0.5634704738128519,6682.6,0.008431904854590307,0.5681481800265809,3171.0,0.017917003469775494
0,76.79506,30.736182,0.982040087590982,8166.3,0.012025520585711791,0.9836812909646003,5549.4,0.017725903538483447
0,76.805002,30.713908,0.6349142353120641,5425.8,0.011701762602972173,0.6514531589678106,4025.8,0.01618195536210966
0,76.813526,30.722955,0.6918185861250508,5585.6,0.012385752401264874,0.7212195800623006,4527.3,0.015930457006655192
0,76.780351,30.73344,0.7581292064968449,9444.0,0.008027628192469768,0.7581292064968449,4793.6,0.01581544572965714
0,76.813366,30.729052,0.7716681063107458,6487.3,0.011895058133749723,0.7716681063107458,4934.7,0.01563758903906511
0,76.768841,30.702185,0.33190628489749674,6540.4,0.005074709266979034,0.3696651549402197,2482.5,0.01489084209225457
0,76.775422,30.74005,0.8230283087957645,10255.7,0.00802508174766973,0.840329633593293,5852.6,0.014358227686725438
0,76.76597,30.7442,0.856299326716117,10263.9,0.008342826086732305,0.8647672015998119,6169.6,0.014016584569499025
0,76.811201,30.741305,0.8422495851992341,8281.5,0.010170254002285021,0.8447441342448113,6046.7,0.013970333144439302
0,76.770453,30.710377,0.2031539371899681,6487.3,0.0031315637813877587,0.2031539371899681,1504.1,0.013506677560665387
0,76.808811,30.708145,0.6296726518598873,4053.0,0.015535964763382365,0.6615033134336132,4904.4,0.013487955987146508
0,76.799059,30.741536,0.9196034194214366,8884.9,0.010350183113163193,0.9203670795671173,6826.3,0.013482663808609602
0,76.774891,30.736846,0.6746739920231618,8896.6,0.007583503720782792,0.6959602783810303,5274.5,0.01319481047267097
0,76.766896,30.748096,0.8807485770741894,10300.7,0.008550375965460497,0.8807932378615206,6960.8,0.012653620817456622
0,76.807766,30.733979,0.6706633160020995,7528.6,0.008908207581782795,0.679721400686646,5479.9,0.012403901543580103
0,76.787096,30.696067,0.28793774817141504,4763.4,0.006044794646080847,0.3475167601541928,2987.7,0.011631581489245667
0,76.769154,30.698312,0.3369647878468298,6056.7,0.005563504678237816,0.3369647878468298,2932.6,0.011490308526455358
0,76.794879,30.751573,0.8893047238282185,9924.3,0.008960881108271803,0.8994557209934323,7961.3,0.011297849861121076
0,76.789598,30.725341,0.42667398061580475,8209.4,0.005197383251100017,0.43013955998972153,3849.1,0.011175068457294471
0,76.778559,30.751855,0.9030010851514962,11123.1,0.008118250174425261,0.9121848567814422,8211.5,0.011108626399335592
0,76.811364,30.712464,0.47787730565305764,4180.8,0.011430283812979756,0.47787730565305764,4326.8,0.011044589665643376
0,76.812959,30.734825,0.5319717344964983,6987.2,0.0076135180687041774,0.5759003460278614,5474.3,0.010520072813471337
0,76.781129,30.727619,0.29602455152061036,7370.2,0.004016506356959246,0.31058565277971595,2988.8,0.010391650588186427
0,76.764835,30.753958,0.8140682873866807,11641.9,0.006992572409887396,0.8322756183399512,8183.2,0.010170539866310871
0,76.801987,30.752503,0.7783956143532116,9488.0,0.008204000994447845,0.7822786615192302,7973.2,0.009811351295831414
0,76.782452,30.758257,0.8957191747480014,11100.9,0.008068887880694372,0.8973416834908109,9147.4,0.009809800418597754
